,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_market_index_change(t_1)_ratio_1d,stat_market_index_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_gold_futures_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_treasuries_20years_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_russel_2000_1d,stat_Vola(22)_1d,stat_Beta(22)_1d,stat_ATR_1d,stat_bollinger_bands_upper_1d,stat_bollinger_bands_lower_1d,stat_open_over_lower_BB_ratio_1d,stat_ATR,stat_bollinger_bands_upper,stat_bollinger_bands_lower,stat_open_over_lower_BB_ratio,duration
0,AAPL,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,47.00164315619836,-1,US-AAPL-20190322-093000,2019-05-20 09:30:00-04:00,44.3498,1,Take Profit at Open,True,1,0.056420222318305215,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,59
1,AMZN,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,90.48587202072143,-1,US-AMZN-20190322-093000,2019-06-03 09:30:00-04:00,85.9831,1,Take Profit at Close,True,1,0.04976215535271953,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,73
2,NVDA,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,45.38820217173515,-1,US-NVDA-20190322-093000,2019-05-07 09:30:00-04:00,43.1296,1,Take Profit at Close,True,1,0.04976187783753331,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,46
3,GOOG,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,61.30067289161681,-1,US-GOOG-20190322-093000,2019-05-02 09:30:00-04:00,58.2502,1,Take Profit at Close,True,1,0.04976246993259321,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,41
4,MSFT,US,2019-03-25 09:30:00-04:00,2019-03-25 09:30:00-04:00,110.98031499127006,1,US-MSFT-20190325-093000,2019-04-18 09:30:00-04:00,116.5002,1,Take Profit at Close,True,1,0.04973751434354956,,,0,0,False,0,-0.0189745012394827,-0.0189745012394827,0.2090975351332424,0.2090975351332424,0.0042110099554459,0.0042110099554459,0.0155344631267817,0.0155344631267817,-0.0361556755260048,-0.0361556755260048,,,,,,,,,,,24
5,MSFT,US,2019-04-25 09:30:00-04:00,2019-04-25 09:30:00-04:00,123.7721567019693,-1,US-MSFT-20190425-093000,2019-05-13 09:30:00-04:00,117.6129,1,Take Profit at Close,True,1,0.04976286158445278,,,0,0,False,0,-0.0021917631747336,-0.0021917631747336,0.0700326245156588,0.0700326245156588,0.0048845433966531,0.0048845433966531,0.0081585415397398,0.0081585415397398,0.0019178968563633,0.0019178968563633,0.0945649043662546,-1873.0860351193492,1.3673313422188855,110.34817152974892,119.14546021463586,1.0390921085521223,1.3673313422188826,110.34817152974891,119.14546021463586,1.0390921085521225,18
6,GOOG,US,2019-05-06 09:30:00-04:00,2019-05-06 09:30:00-04:00,58.298421475410464,-1,US-GOOG-20190506-093000,2019-05-31 09:30:00-04:00,55.0783,1,Take Profit at Open,True,1,0.05523514005895806,,,0,0,False,0,0.0096382793806477,0.0096382793806477,-0.1074896104392549,-0.1074896104392549,0.007482082669399,0.007482082669399,0.0028383381551477,0.0028383381551477,0.0198211825945546,0.0198211825945546,0.3008470087530505,165.60174225965395,1.1459095082524844,57.70476187422284,64.55023843095294,0.9033738858721196,1.1459095082524835,57.70476187422284,64.55023843095294,0.9033738858721196,25
7,NVDA,US,2019-05-08 09:30:00-04:00,2019-05-08 09:30:00-04:00,42.6972872248393,-1,US-NVDA-20190508-093000,2019-05-13 09:30:00-04:00,40.5726,1,Take Profit at Close,True,1,0.04976164442604809,,,0,0,False,0,-0.0165116513924233,-0.0165116513924233,0.2512953510290572,0.2512953510290572,0.0014044229513148,0.0014044229513148,0.007661299612927,0.007661299612927,-0.0202293045549193,-0.0202293045549193,0.2829579774175047,-664.00663351572,1.4323525531414685,43.437288118350025,48.55070550347615,0.8796569230664516,1.4323525531414683,43.43728811835003,48.550705503476145,0.8796569230664517,5
8,MSFT,US,2019-05-14 09:30:00-04:00,2019-05-14 09:30:00-04:00,117.88143222092586,-1,US-MSFT-20190514-093000,2019-11-11 09:30:00-05:00,140.0957,0,Max holding days touched,True,0,-0.18844585920403115,,,0,0,False,0,-0.0241305571988442,-0.0241305571988442,0.2811719491342017,0.2811719491342017,0.0112001438601108,0.0112001438601108,0.007855569252555,0.007855569252555,-0.0317802341685127,-0.0317802341685127,0.2240473087915226,11.458864789301538,2.3204898453888867,114.34465362437656,125.41132629505704,0.940193469216666,2.3204898453888854,114.34465362437666,125.41132629505694,0.9401934692166668,181
9,NVDA,US,2019-05-14 09:30:00-04:00,2019-05-14 09:30:00-04:00,39.73083203245466,-1,US-NVDA-20190514-093000,2019-05-20 09:30:00-04:00,37.7537,1,Take Profit at Close,True,1,0.04976316707487043,,,0,0,False,0,-0.0241305571988442,-0.0241305571988442,0.2811719491342017,0.2811719491342017,0.0112001438601108,0.0112001438601108,0.007855569252555,0.007855569252555,-0.0317802341685127,-0.0317802341685127,0.3299375231333094,-386.3876182147928,1.607579907389364,40.81338928796092,48.90189582251272,0.8126631198205095,1.607579907389364,40.813389287960916,48.901895822512714,0.8126631198205095,6
