,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_market_index_change(t_1)_ratio_1d,stat_market_index_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_gold_futures_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_treasuries_20years_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_russel_2000_1d,stat_Vola(22)_1d,stat_Beta(22)_1d,stat_ATR_1d,stat_bollinger_bands_upper_1d,stat_bollinger_bands_lower_1d,stat_open_over_lower_BB_ratio_1d,stat_ATR,stat_bollinger_bands_upper,stat_bollinger_bands_lower,stat_open_over_lower_BB_ratio,duration
0,AAPL,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,47.02514985445103,1,US-AAPL-20190322-093000,2019-09-18 09:30:00-04:00,54.0126,0,Max holding days touched,True,1,0.14858964122764176,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
1,MSFT,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,113.72269420923918,-1,US-MSFT-20190322-093000,2019-09-18 09:30:00-04:00,132.8181,0,Max holding days touched,True,0,-0.1679120066890698,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
2,AMZN,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,90.53112627029418,1,US-AMZN-20190322-093000,2019-09-18 09:30:00-04:00,90.8503,0,Max holding days touched,True,1,0.0035255689711943174,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
3,NVDA,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,45.38820217173515,-1,US-NVDA-20190322-093000,2019-09-18 09:30:00-04:00,44.7959,0,Max holding days touched,True,1,0.013049694488758501,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,180
4,GOOG,US,2019-03-26 09:30:00-04:00,2019-03-26 09:30:00-04:00,59.94148003768922,1,US-GOOG-20190326-093000,2019-09-23 09:30:00-04:00,61.6861,0,Max holding days touched,True,1,0.029105386807496688,,,0,0,False,0,-0.0008390206584756,-0.0008390206584756,-0.0091019188529611,-0.0091019188529611,0.0078530413387081,0.0078530413387081,0.0016023028075999,0.0016023028075999,0.004608439494615,0.004608439494615,,,,,,,,,,,181
5,AAPL,US,2019-09-19 09:30:00-04:00,2019-09-19 09:30:00-04:00,53.82829068058761,-1,US-AAPL-20190919-093000,2020-03-17 09:30:00-04:00,61.669,0,Max holding days touched,True,0,-0.14566149547527854,,,0,0,False,0,0.0003426919897555,0.0003426919897555,-0.0339335031410823,-0.0339335031410823,0.001594594680083,0.001594594680083,0.0042436166576154,0.0042436166576154,-0.0063043376033076,-0.0063043376033076,0.2616358973822161,75.52758285729826,1.0661191171945896,48.52791142466602,54.85258173939648,0.9815718679235242,1.0661191171945903,48.52791142466602,54.85258173939648,0.9815718679235242,180
6,MSFT,US,2019-09-19 09:30:00-04:00,2019-09-19 09:30:00-04:00,134.4576078882737,-1,US-MSFT-20190919-093000,2020-03-17 09:30:00-04:00,141.4001,0,Max holding days touched,True,0,-0.05163331566552258,,,0,0,False,0,0.0003426919897555,0.0003426919897555,-0.0339335031410823,-0.0339335031410823,0.001594594680083,0.001594594680083,0.0042436166576154,0.0042436166576154,-0.0063043376033076,-0.0063043376033076,0.1996970675727579,264.95199855770755,2.248430963264313,128.56782279055446,134.30930046994357,1.0013545616377093,2.248430963264313,128.56782279055525,134.30930046994277,1.001354561637715,180
7,AMZN,US,2019-09-19 09:30:00-04:00,2019-09-19 09:30:00-04:00,91.07376525306702,1,US-AMZN-20190919-093000,2020-03-17 09:30:00-04:00,90.3694,0,Max holding days touched,True,0,-0.0077340082636289595,,,0,0,False,0,0.0003426919897555,0.0003426919897555,-0.0339335031410823,-0.0339335031410823,0.001594594680083,0.001594594680083,0.0042436166576154,0.0042436166576154,-0.0063043376033076,-0.0063043376033076,0.1861767580058774,257.2092367193045,1.4862049552815215,87.42340175054748,93.10549763299744,0.9779336861647588,1.4862049552815213,87.42340175054713,93.10549763299778,0.9779336861647552,180
8,NVDA,US,2019-09-20 09:30:00-04:00,2019-09-20 09:30:00-04:00,44.029317228767454,1,US-NVDA-20190920-093000,2020-03-18 09:30:00-04:00,50.5228,0,Max holding days touched,True,1,0.14748088728003017,,,0,0,False,0,1.997472142156731e-05,1.997472142156731e-05,0.007168486224875,0.007168486224875,-0.0060364680503731,-0.0060364680503731,0.0030080990069991,0.0030080990069991,-0.0043804246954799,-0.0043804246954799,0.378413600986075,27.623265148530653,1.2832484985161214,39.22129090427404,47.37176291347498,0.9292099331621816,1.2832484985161214,39.221290904274,47.371762913475024,0.9292099331621807,180
9,GOOG,US,2019-09-24 09:30:00-04:00,2019-09-24 09:30:00-04:00,61.984500000000004,-1,US-GOOG-20190924-093000,2020-03-23 09:30:00-04:00,52.8442,0,Max holding days touched,True,1,0.1474610588130904,,,0,0,False,0,-9.693591923765066e-05,-9.693591923765066e-05,-0.0267623926618369,-0.0267623926618369,0.0108803169989282,0.0108803169989282,-0.0002120425164867,-0.0002120425164867,-0.0009681039109675,-0.0009681039109675,0.1923738590704857,90.09588316394904,0.978264442859367,57.84038962345016,62.933259592248085,0.9851706458827212,0.9782644428593662,57.84038962345015,62.93325959224809,0.985170645882721,181
