,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_market_index_change(t_1)_ratio_1d,stat_market_index_1d,stat_vix_change(t_1)_ratio_1d,stat_vix_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_gold_futures_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_treasuries_20years_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_russel_2000_1d,stat_Vola(22)_1d,stat_Beta(22)_1d,stat_ATR_1d,stat_bollinger_bands_upper_1d,stat_bollinger_bands_lower_1d,stat_open_over_lower_BB_ratio_1d,stat_ATR,stat_bollinger_bands_upper,stat_bollinger_bands_lower,stat_open_over_lower_BB_ratio,duration
0,AAPL,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,47.00164315619836,-1,US-AAPL-20190322-093000,2019-04-17 09:30:00-04:00,48.9005,0,Stop loss at daily close,True,0,-0.040399797034568696,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,26
1,MSFT,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,113.72269420923918,-1,US-MSFT-20190322-093000,2019-04-23 09:30:00-04:00,119.4352,0,Stop loss at daily close,True,0,-0.05023188933820312,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,32
2,AMZN,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,90.53112627029418,1,US-AMZN-20190322-093000,2019-06-03 09:30:00-04:00,84.6133,0,Stop loss at daily close,True,0,-0.06536786312174701,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,73
3,NVDA,US,2019-03-22 09:30:00-04:00,2019-03-22 09:30:00-04:00,45.38820217173515,-1,US-NVDA-20190322-093000,2019-04-05 09:30:00-04:00,47.4251,0,Stop loss at daily close,True,0,-0.04487725291602973,,,0,0,False,0,0.0108524810499543,0.0108524810499543,-0.0201293843308908,-0.0201293843308908,0.0043060173671183,0.0043060173671183,0.0022008640295092,0.0022008640295092,0.0124744028964129,0.0124744028964129,,,,,,,,,,,14
4,GOOG,US,2019-04-02 09:30:00-04:00,2019-04-02 09:30:00-04:00,59.78094034004212,1,US-GOOG-20190402-093000,2019-05-13 09:30:00-04:00,57.0837,0,Stop Loss at Open,True,0,-0.045118733909166556,,,0,0,False,0,0.0115686001242754,0.0115686001242754,-0.0226112632205797,-0.0226112632205797,-0.0035575990610499,-0.0035575990610499,-0.0142039817425908,-0.0142039817425908,0.0105992365353131,0.0105992365353131,,,,,,,,,,,41
5,NVDA,US,2019-04-08 09:30:00-04:00,2019-04-08 09:30:00-04:00,47.09610767717405,-1,US-NVDA-20190408-093000,2019-10-07 09:30:00-04:00,45.8786,0,Max holding days touched,True,1,0.025851556258525674,,,0,0,False,0,0.004636432770241,0.004636432770241,-0.0559646710715464,-0.0559646710715464,0.0010861322064099,0.0010861322064099,0.0012915572082938,0.0012915572082938,0.0096141400922895,0.0096141400922895,,,,,,,,,,,182
6,AAPL,US,2019-04-18 09:30:00-04:00,2019-04-18 09:30:00-04:00,48.89807423043862,1,US-AAPL-20190418-093000,2019-05-13 09:30:00-04:00,45.3397,0,Stop Loss at Open,True,0,-0.07277125503285281,,,0,0,False,0,-0.0022738117853239,-0.0022738117853239,0.034482764020578,0.034482764020578,-0.0003143363364267,-0.0003143363364267,0.0004091289012615,0.0004091289012615,-0.0095970173564901,-0.0095970173564901,,,0.8093663702451428,44.64477982410087,49.26071791759836,0.9923901809352712,0.8093663702451421,44.644779824100866,49.260717917598356,0.9923901809352715,25
7,MSFT,US,2019-04-26 09:30:00-04:00,2019-04-26 09:30:00-04:00,123.49128438516114,1,US-MSFT-20190426-093000,2019-05-09 09:30:00-04:00,118.2811,0,Stop Loss at Open,True,0,-0.04219070528824465,,,0,0,False,0,-0.0003689736527457,-0.0003689736527457,0.0083713587369229,0.0083713587369229,0.0002352401631713,0.0002352401631713,-0.001456598146885,-0.001456598146885,-0.0078834978828914,-0.0078834978828914,0.1390526303610809,-1097.0040001966408,1.770115380284558,109.97032174581746,120.70175238137982,1.0228552348622468,1.7701153802845548,109.97032174581747,120.7017523813798,1.0228552348622473,13
8,MSFT,US,2019-05-10 09:30:00-04:00,2019-05-10 09:30:00-04:00,118.93060645991201,1,US-MSFT-20190510-093000,2019-11-06 09:30:00-05:00,138.061,0,Max holding days touched,True,1,0.16085340947568685,,,0,0,False,0,-0.0030214249424966,-0.0030214249424966,-0.0154638785030695,-0.0154638785030695,0.0032046080254024,0.0032046080254024,0.0040991656775914,0.0040991656775914,-0.0031174639521431,-0.0031174639521431,0.1945221267657731,-57.05698293645245,2.0456352816842327,113.22862166970616,125.65161743551845,0.9462741798816824,2.0456352816842314,113.22862166970626,125.65161743551835,0.9462741798816829,180
9,GOOG,US,2019-05-14 09:30:00-04:00,2019-05-14 09:30:00-04:00,56.87471546077729,1,US-GOOG-20190514-093000,2019-06-03 09:30:00-04:00,53.2617,0,Stop Loss at Open,True,0,-0.06352586437586571,,,0,0,False,0,-0.0241305571988442,-0.0241305571988442,0.2811719491342017,0.2811719491342017,0.0112001438601108,0.0112001438601108,0.007855569252555,0.007855569252555,-0.0317802341685127,-0.0317802341685127,0.314318375102163,78.7906754211491,1.22937656119036,56.02854135000226,65.00420935190203,0.8747202820032394,1.2293765611903598,56.02854135000226,65.00420935190203,0.8747202820032394,20
