Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2017-03-21 09:30:00-04:00,100.96202687336218,102.0221069267565,100.93657951709997,101.88641357421875,12540700,0.0,0.0,0.0
2017-03-22 09:30:00-04:00,102.37829265937765,102.75991889195811,102.13235330963339,102.29348754882812,11661400,0.0,0.0,0.0
2017-03-23 09:30:00-04:00,102.47160632904951,102.63273413908006,101.81859322399612,102.14933776855469,6746500,0.0,0.0,0.0
2017-03-24 09:30:00-04:00,102.21717875787672,102.70057510142495,102.1069327392487,102.51399993896484,5819600,0.0,0.0,0.0
2017-03-27 09:30:00-04:00,103.319657559079,103.43838602316468,102.77689701748275,102.98043060302734,6878500,0.0,0.0,0.0
2017-03-28 09:30:00-04:00,103.28572092970948,103.31116181585281,102.18323508192007,102.29348754882812,6811200,0.0,0.0,0.0
2017-03-29 09:30:00-04:00,102.56487803464374,102.93802185239521,102.5139897870563,102.90409851074219,6291000,0.0,0.0,0.0
2017-03-30 09:30:00-04:00,102.67514581912093,102.69210425843629,102.03909758621064,102.0730209350586,7042400,0.0,0.0,0.0
2017-03-31 09:30:00-04:00,102.00516701338411,102.45464003090773,101.94580277465867,102.36983489990234,5144800,0.0,0.0,0.0
2017-04-03 09:30:00-04:00,102.36559025372782,103.57239586098105,102.32310116240471,103.40242004394531,12996500,0.255,0.0,0.0
2017-04-04 09:30:00-04:00,103.14742630932012,103.33438991016477,102.79048047300665,102.84147644042969,6976700,0.0,0.0,0.0
2017-04-05 09:30:00-04:00,102.4590527086394,103.27491699852068,102.28908341304819,103.15593719482422,8555200,0.0,0.0,0.0
2017-04-06 09:30:00-04:00,103.03697062413401,103.18145167624652,102.4250707071587,103.00297546386719,6497000,0.0,0.0,0.0
2017-04-07 09:30:00-04:00,103.54688683084436,103.89533236660205,102.56955351309541,102.5865478515625,10270000,0.0,0.0,0.0
2017-04-10 09:30:00-04:00,102.9519748276531,103.35991022280912,102.83299502154783,103.06245422363281,5314500,0.0,0.0,0.0
2017-04-11 09:30:00-04:00,103.51287101785496,104.2352501657412,103.4448807139825,104.03977966308594,11297400,0.0,0.0,0.0
2017-04-12 09:30:00-04:00,104.11627836342161,104.69418302284824,103.92930825538465,104.60919189453125,11532500,0.0,0.0,0.0
2017-04-13 09:30:00-04:00,104.91518148635255,105.16164158708885,104.45626293619829,104.93218231201172,8396700,0.0,0.0,0.0
